[2026-08-13T09:16:53.317Z] GET http://localhost:5199/thai-flashcards/node_modules/.vite/deps/chunk-KHBLIGMZ.js?v=9c9d52f4 → 200 (?ms, 16246B)
[2026-08-13T09:16:53.317Z] GET http://localhost:5199/thai-flashcards/node_modules/vite/dist/client/env.mjs → 200 (3ms, 3478B)
[2026-08-13T09:16:53.318Z] GET http://localhost:5199/thai-flashcards/src/store.tsx?t=1786607705992 → 200 (3ms, 27309B)
[2026-08-13T09:16:53.318Z] GET http://localhost:5199/thai-flashcards/src/screens/Review.tsx?t=1786612611669 → 200 (3ms, 34175B)
[2026-08-13T09:16:53.318Z] GET http://localhost:5199/thai-flashcards/src/screens/Browse.tsx?t=1786612611669 → 200 (24ms, 36934B)
[2026-08-13T09:16:53.320Z] GET http://localhost:5199/thai-flashcards/src/screens/Settings.tsx?t=1786607705992 → 200 (23ms, 63724B)
[2026-08-13T09:16:53.320Z] GET http://localhost:5199/thai-flashcards/src/screens/TonePrimer.tsx?t=1786607705992 → 200 (23ms, 16030B)
[2026-08-13T09:16:53.321Z] GET http://localhost:5199/thai-flashcards/src/types.ts → 200 (22ms, 6902B)
[2026-08-13T09:16:53.321Z] GET http://localhost:5199/thai-flashcards/src/srs/scheduler.ts → 200 (23ms, 19966B)
[2026-08-13T09:16:53.321Z] GET http://localhost:5199/thai-flashcards/src/srs/queue.ts → 200 (23ms, 9853B)
[2026-08-13T09:16:53.321Z] GET http://localhost:5199/thai-flashcards/src/components/CardFace.tsx?t=1786612611669 → 200 (22ms, 21103B)
[2026-08-13T09:16:53.321Z] GET http://localhost:5199/thai-flashcards/src/audio/tts.ts → 200 (23ms, 10468B)
[2026-08-13T09:16:53.343Z] GET http://localhost:5199/thai-flashcards/src/data/phrases.ts?t=1786607705992 → 200 (4ms, 190557B)
[2026-08-13T09:16:53.343Z] GET http://localhost:5199/thai-flashcards/src/db/db.ts → 200 (3ms, 15242B)
[2026-08-13T09:16:53.346Z] GET http://localhost:5199/thai-flashcards/src/components/ToneContour.tsx → 200 (1ms, 13137B)
[2026-08-13T09:16:53.346Z] GET http://localhost:5199/thai-flashcards/src/components/AudioButton.tsx?t=1786607705992 → 200 (1ms, 9444B)
[2026-08-13T09:16:53.346Z] GET http://localhost:5199/thai-flashcards/src/components/Panel.tsx?t=1786612611669 → 304 (1ms, ?B)
[2026-08-13T09:16:53.347Z] GET http://localhost:5199/thai-flashcards/node_modules/.vite/deps/idb.js?v=9c9d52f4 → 200 (?ms, 8142B)
[2026-08-13T09:16:53.348Z] GET http://localhost:5199/thai-flashcards/src/art/index.tsx?t=1786612611669 → 304 (?ms, ?B)
[2026-08-13T09:18:07.602Z] GET http://localhost:5199/thai-flashcards/ → 200 (3ms, 2592B)
[2026-08-13T09:18:07.608Z] GET http://localhost:5199/thai-flashcards/@vite/client → 200 (9ms, 179312B)
[2026-08-13T09:18:07.608Z] GET http://localhost:5199/thai-flashcards/src/main.tsx → 200 (7ms, 2008B)
[2026-08-13T09:18:07.608Z] GET http://localhost:5199/thai-flashcards/@react-refresh → 200 (9ms, 113196B)
[2026-08-13T09:18:07.615Z] GET http://localhost:5199/thai-flashcards/node_modules/.vite/deps/react_jsx-dev-runtime.js?v=9c9d52f4 → 200 (?ms, 12407B)
[2026-08-13T09:18:07.616Z] GET http://localhost:5199/thai-flashcards/node_modules/.vite/deps/react.js?v=9c9d52f4 → 200 (?ms, 1152B)
[2026-08-13T09:18:07.616Z] GET http://localhost:5199/thai-flashcards/node_modules/.vite/deps/react-dom_client.js?v=9c9d52f4 → 200 (?ms, 1005327B)
[2026-08-13T09:18:07.616Z] GET http://localhost:5199/thai-flashcards/src/App.tsx?t=1786612611669 → 200 (3ms, 18199B)
[2026-08-13T09:18:07.616Z] GET http://localhost:5199/thai-flashcards/src/index.css?t=1786612687581 → 200 (3ms, 27783B)
[2026-08-13T09:18:07.616Z] GET http://localhost:5199/thai-flashcards/node_modules/.vite/deps/chunk-SNQLVDOS.js?v=9c9d52f4 → 200 (?ms, 45580B)
[2026-08-13T09:18:07.616Z] GET http://localhost:5199/thai-flashcards/node_modules/.vite/deps/chunk-Q4AC2O6Z.js?v=9c9d52f4 → 200 (?ms, 1767B)
[2026-08-13T09:18:07.616Z] GET http://localhost:5199/thai-flashcards/node_modules/.vite/deps/chunk-KHBLIGMZ.js?v=9c9d52f4 → 200 (?ms, 16246B)
[2026-08-13T09:18:07.617Z] GET http://localhost:5199/thai-flashcards/node_modules/vite/dist/client/env.mjs → 200 (3ms, 3478B)
[2026-08-13T09:18:07.619Z] GET http://localhost:5199/thai-flashcards/src/store.tsx?t=1786607705992 → 200 (1ms, 27309B)
